criterion,max_depth,min_samples_split,min_samples_leaf,recall,precision,f1
gini,50,1,5,0.2455,0.315958815958816,0.2763083849184018
gini,50,2,1,0.3795,0.3580188679245283,0.36844660194174755
gini,50,2,2,0.2825,0.3666450356911097,0.3191188929680881
gini,50,2,3,0.2935,0.3746011486917677,0.32912811886739557
gini,50,2,4,0.2355,0.3330975954738331,0.2759226713532513
gini,50,2,5,0.247,0.31974110032362457,0.2787023977433004
gini,50,3,1,0.364,0.37916666666666665,0.37142857142857144
gini,50,3,2,0.281,0.37095709570957097,0.3197724039829303
gini,50,3,3,0.2965,0.37891373801916933,0.3326788218793829
gini,50,3,4,0.2415,0.3363509749303621,0.2811408614668219
gini,50,3,5,0.2415,0.312015503875969,0.27226606538895154
gini,50,4,1,0.3425,0.3672922252010724,0.35446313065976714
gini,50,4,2,0.281,0.364461738002594,0.31733483907396953
gini,50,4,3,0.2945,0.37611749680715195,0.3303421200224341
gini,50,4,4,0.244,0.34173669467787116,0.2847141190198366
gini,50,4,5,0.246,0.3163987138263666,0.2767932489451477
gini,50,5,1,0.316,0.3538633818589026,0.3338615953512942
gini,50,5,2,0.2735,0.37672176308539945,0.3169177288528389
gini,50,5,3,0.295,0.3753180661577608,0.3303471444568869
gini,50,5,4,0.235,0.3333333333333333,0.2756598240469208
gini,50,5,5,0.242,0.3112540192926045,0.27229254571026723
gini,100,1,1,0.3835,0.36419753086419754,0.3735996103263517
gini,100,1,2,0.281,0.3690085357846356,0.31904626738575076
gini,100,1,3,0.299,0.37681159420289856,0.3334262614998606
gini,100,1,4,0.2405,0.3396892655367232,0.281615925058548
gini,100,1,5,0.2455,0.3173884938590821,0.276853679165492
gini,100,2,1,0.3855,0.36265286923800566,0.3737275811924382
gini,100,2,2,0.284,0.36835278858625164,0.3207227555053642
gini,100,2,3,0.2985,0.37832699619771865,0.33370598099496923
gini,100,2,4,0.242,0.3415666901905434,0.2832894351770559
gini,100,2,5,0.2455,0.3200782268578879,0.27787209960384834
gini,100,3,1,0.371,0.3878724516466283,0.37924865831842575
gini,100,3,2,0.2795,0.36416938110749186,0.31626591230551626
gini,100,3,3,0.293,0.37396298659859606,0.3285674236052705
gini,100,3,4,0.2455,0.34287709497206703,0.28613053613053613
gini,100,3,5,0.242,0.31145431145431146,0.2723691615081598
gini,100,4,1,0.3395,0.36742424242424243,0.3529106029106029
gini,100,4,2,0.279,0.36470588235294116,0.3161473087818697
gini,100,4,3,0.2995,0.38128580521960537,0.3354802576309157
gini,100,4,4,0.2365,0.33263009845288327,0.2764465225014611
gini,100,4,5,0.247,0.3142493638676845,0.2765957446808511
gini,100,5,1,0.3145,0.3551665725578769,0.3335985149827632
gini,100,5,2,0.2755,0.3758526603001364,0.31794575879976916
gini,100,5,3,0.2965,0.3781887755102041,0.33239910313901344
gini,100,5,4,0.241,0.3387210119465917,0.2816243061641835
gini,100,5,5,0.239,0.3079896907216495,0.26914414414414417
entropy,,1,1,0.39,0.36027713625866054,0.3745498199279712
entropy,,1,2,0.295,0.37318153067678683,0.3295168947221446
entropy,,1,3,0.2695,0.32489451476793246,0.2946160153047281
entropy,,1,4,0.2515,0.3333333333333333,0.286691365061271
entropy,,1,5,0.2425,0.2925211097708082,0.26517222525970474
